mitra_name,address,description,program,course_position
PT LENTERA BANGSA BENDERANG,(Alamat Tidak Tersedia),Knowing Introduction to the World of Programming Modifying OOP and Functional Style by applying Unit Testing properly Implementing Security to Create Authorization & Authentication Mastering basic syntax in Java programming Implementing Programming and OOP Algorithms to Create Applications Implementing Spring Framework to Create ERD and CRUD Data on Databases Implementing Spring Web to Create Restful APIs Implement Libraries Frequently Used by Java Back End Engineers Collaborate with application development teams by iterating the testing and evaluation process through the Github repository Implementing Firebase to Create In App Notifications on Websites,Studi Independen,Backend Java
PT LENTERA BANGSA BENDERANG,(Alamat Tidak Tersedia),"Know the Introduction to the World of Programming Be able to do testing and deployment of Networking, API Documentation and Design Patterns Understand programming logic using Javascript Understand the use of authentication and media handling to support feature development on the web Understand basic programming using the Javascript programming language Data processing on the backend with the PostgreeSQL database Able create a rest API Collaborate with the application development team by iterating the testing and evaluation process through the Github repository Understanding the use of web sockets, in app notifications and mailers to support feature development on the web",Studi Independen,Backend Javascript
PT Cloud Ace Integra,"Nippon Bldg 11F #1106, 2-6-2 Otemachi, Chiyoda-ku, Tokyo 100-0004 Japan  / Cohive 101 Mega Kuningan","Part 4 - Introduction to Computing in Google Cloud Part 8 - Managing Kubernetes Cluster Part 1 - Overview of Google Cloud Platform Part 2 - Google Cloud Computing Services Part 3 - Projects,Service Accounts, And Billing Part 5 - Computing with Compute Engine Virtual Machines Part 6 - Managing Virtual Machines  Part 7 - Computing with Kubernetes Part 9 - Computing with App Engine Part 11 - Planning Storage  in the Cloud Part 12 - Deploying Storage on Google Cloud Platform Part 10 - Computing with Cloud Function Part 13 - Loading Data into Storage Part 14 - Networking in the Cloud: Virtual Private Clouds and Virtual Private Networks Part 15 - Networking in the Cloud: DNS, Load Balancing, and IP Addressing Part 16 - Deploying Applications with Cloud Launcher and Deployment Manager Part 17 - Configuring Access and Security Part 18 - Monitoring, Logging, and Cost Estimating",Studi Independen,Basic Fundamental of Google Cloud Platform
PT Marka Kreasi Persada,(Alamat Tidak Tersedia),Coding Competence Mini Project Basic Software Testing Software Performance Testing Software Programming Multi-Platform Testing Capstone Project,Studi Independen,Be a Top Search Quality Engineer
PT Neosia Pratama Indonusa,"Sona Topas Tower, lt. 5A/526. Jl. Jendral Sudirman, KAV 26. Karet Kuningan, Setiabudi. Jakarta Selatan. DKI Jakarta",Disciplined BIM Modeling Structure BIM Modeling Disciplined Architecture Workflow Building and Infrastructure Modeling Presentation and Visualization Project Workflow analysis and team collaboration on BIM Modeling Projects Structure Analysis BIM Modeling Mechanical Disciplines BIM Modeling Electrical Disciplines BIM Modeling Generative Components Project Digital Collaboration AEC,Studi Independen,"BIM & Digital Twins - Architecture, Civil Engineering and Construction"
PT BISA ARTIFISIAL INDONESIA,JLN. IR H JUANDA NO. 84 BANDUNG,Compulsory Learning 1 Compulsory Learning 2 Optional Learning 2 Optional Learning 1 Capstone Project Learning,Studi Independen,Bisnis Kecerdasan Artifisial (AI-HUSTLER)
PT BISA ARTIFISIAL INDONESIA,JLN. IR H JUANDA NO. 84 BANDUNG,Optional Learning 2 Compulsory Learning 1 Compulsory Learning 2 Optional Learning 1 Capstone Project Learning,Studi Independen,Blockchain Kecerdasan Artifisial (AI-BLOCKCHAIN)
PT Neosia Pratama Indonusa,"Sona Topas Tower, lt. 5A/526. Jl. Jendral Sudirman, KAV 26. Karet Kuningan, Setiabudi. Jakarta Selatan. DKI Jakarta",Mechanical Modeling with Autodesk Inventor CAD/CAM/CAE with Solidworks Drafting with AutoCAD Mechanical Project Mechanical Digital Collaboration,Studi Independen,CAD/CAM & CAE - Mechanical  Engineering Design & Analysis
PT CADFEM SIMULATION TECHNOLOGY INDONESIA,"Munich, Germany",Fluid Kinematics Simple Approximations of Fluid Flows What are Fluids?Governing Equations of Fluid Dynamics Dimensional Analysis and Similarity Studi Kasus Fluid Statics Viscous Laminar Flows Sertifikasi Internasional,Studi Independen,CADFEM Ansys - Computational Fluids Dynamic (CFD) Learning Track
PT CADFEM SIMULATION TECHNOLOGY INDONESIA,"Munich, Germany",Studi Kasus Sertifikasi Internasional Stress Analysis in Solid Mechanics Strain in Deformation Analysis Stress and Local Equilibrium Structural Dynamics Time Domain Dynamic Problems Structural Nonlinearity Large Deformation Modal Analysis,Studi Independen,CADFEM Ansys - Finite Element Analysis (FEA) Learning Track
PT Mitra Talenta Grup,"The Manhattan Square Mid Tower 12th Floor. Jl. TB Simatupang Kav 1-S, Jakarta, 12560.",Database & SQL Python for Data Analytics Data Warehouse ETL (Pentaho) Statistic Data Visualization (Tableau & Power BI) Big Data & Cloud Technology Machine Learning Deep Learning,Studi Independen, Celerates Acceleration Program (Big Data & Business Intelligence)
PT Chairos International Ventures,Gedung GMT Lt. 3 Jl. Wijaya 1 no. 5 Petogogan Kebayoran Baru Jakarta Selatan ,"1.Fundamental of Cloud Computing 2.Databases and Files 3.Python Programming 4.Linux Fundamental 6.AWS IAM & Networking 10.Final Project 5.AWS Cloud Introduction 8.AWS Security & Billing 7.AWS Storage, Compute, and Database 9.AWS Certified Cloud Practitioner Exam Preparation",Studi Independen,Cloud Computing For Jobseekers
PT DWI INTI PUTRA,(Alamat Tidak Tersedia),Capstone Project Support Group Introduction to Python  Group Mentoring Microsoft Office Specialist: Excel Associate   Career Mentoring 1 on 1 Microsoft Office Specialist: Excel Expert  Microsoft Power Platform Fundamental (PL-900) IT Specialist: Data Analytics IT Specialist: Databases,Studi Independen,Data Analyst
PT Greatedu Global Mahardika,"8A, RT.12/RW.1, Pejaten Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",Identify and summarize basic knowledge about Data Analytics Have initiative and be responsible Self-reflection Develop soft skills that a Data Analyst must possess Career preparation for prospective Data Analysts Use excel as a starting point for data analysis Be active and independent Operate NumPy as a tool for numerical computation process Create visualization of data using charts and plots in python Final Project: Providing insights/recommendations to the team from the results of data analysis Applying statistics as a basis for conducting data analysis Creating documentation and basic mathematics in python Operating Pandas to manage tabular data Applying the Data Wranging process to processing data Finalizing data analysis and visualization using python tools and python libraries Operate python libraries using NumPy and Pandas,Studi Independen,DATA ANALYTICS 
PT. INDOBIT DIGITAL RAYA,"Educenter building unit 22218 Kav Commercial International School II No 8 BSD City, Jalan Sekolah Foresta, BSD City, Tangerang, Banten 15331",Program Onboarding Data Collection Overview of Being Data Analyst & Opportunities in Industry Introduction to Data Analytics and Relational Database Concept Data Preparation for Visualisation Introduction to Python  Programming for Data Analytics Career Preparation Essentials Project-based Learning Graduation Day SQL for Data Analytics Business Analysis and Problem Solving Exploratory Data Analysis with Python Data Dashboarding 101 and Create Valuable Insight Communicate Insights through Data Storytelling Mid Exam Soft skills for Young Professionals,Studi Independen,Data Analytics for Business
PT Mitra Integrasi Informatika,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","Data Concept & Environment Office Word-Excel-PowerPoint Data Mining Data Analysis Office 365 Data Governance, Quality, & Control Power BI Data Analyst",Studi Independen,Data Analytic with Power Platform and Business Intelligence Tools
PT Ruang Raya Indonesia,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Digital Product Analytics: understand the basics of digital product analytics to improve operational systems in business.Data & Visualization with Tableau Understand how to visualize data using Tableau so that data can be more easily understood.SQL for Analytics: Understand the basics of SQL and be able to use it for data extraction from relational databases Introduction to Data Analytics for Business: Compile, sort, process and study business data using certain methods and techniques to turn it into a business insight.Final Project: able to execute a series of data analytic projects that represent real-cases in the industry covering the stages of data preparation, data processing, modeling up to the visualization (dashboard) stage.General Competencies: Additional learning that can support participants' ability to participate in and implement digital marketing programs which include: 1) Communication and Presentation Skills 2) Analytical & Strategic Thinking Skills",Studi Independen,Data Business & Analytics
PT DWI INTI PUTRA,(Alamat Tidak Tersedia),"Python (Panda, Numpy, Seaborn, Matplotlib) IT Specialist: Python  Support Group Capstone Project Fundamental of Statistics IT Specialist: Databases Career Mentoring 1 on 1 Group Mentoring Microsoft Azure AI Fundamentals (AI-900)",Studi Independen,Data Scientist
PT Mitra Semeru Indonesia,"Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan    ","03.Branding on Logo, Tagline, Brand Value & Brand Story 05.Website & Landing Page 07.Graphic Design 09.Public Speaking & Live Streaming 11.Paid Traffic FB & IG 13.Paid Traffic of Google Ads 14.Conversion by Power Closing 01.Digital Growth Mindset 04.Building Assets on Social Media & Marketplace 08.Video Making 12.Paid Traffic of TikTok 15.Power Magnetic Funneling 02.Keyword Research & Market Research 10.Traffic Generations of Organic Traffic & Social Orchestra 16.Flywheel CRM Marketing 06.Content Production on: Copywriting",Studi Independen,Digital Marketing Camp
Perkumpulan Sosial Ekonomi Akselerator Lab,"Kawasan Ekonomi Khusus Singhasari, Raya Klampok Blok D2 no 16 Purwoasri, Singosari, Kab. Malang",AWS Cloud Computing Concept of Digital Transformation and Its Development Identification of Problems and Strategy Solutions on Digital Transformation in Government Agencies Information System Management Research Concept with Android Framework & Website Programming Application Development with Scrum Method,Studi Independen,Digital Transformation in The Government and Public Sector
PT Mitra Semeru Indonesia,"Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan    ",04.Product/Service Planning 02.Communication 03.Leadership & Long Life Learning  05.Digital Technology-based Business Organization / Startup Management 06.Information Technology 01.Digital Mindset,Studi Independen,"E-Commerce: Start Up, Smart Up, & Scale Up"
PT STECHOQ ROBOTIKA INDONESIA,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta",Content Production Assessment Production of Digital Teaching Materials Prototype Development Teaching Material Design and Online Evaluation Material Design Thinking Development of Mobile Apps-Based Asynchronous Teaching Systems Software Mastery Online Course Development,Studi Independen,Education Engineering Course for Digital Transformation and Industry 4.0
PT STECHOQ ROBOTIKA INDONESIA,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta",Image Sensors and Actuators Electronics Engineering Microcontroller Integrated Electronics Power Electronics Wireless Sensor Network Digital Electronics (Alarm and Display),Studi Independen,Electrical Engineering Course for Digital Transformation and Industry 4.0
PT STECHOQ ROBOTIKA INDONESIA,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta","Breeding and Fattening Sheep Farm Industry SOP Design Thinking Apps and Monitoring Dashboard Feed Technology Innovation Livestock Product Technology Technology in Cages (scales, thermoguns, RFID) Livestock Social and Economics",Studi Independen,Farm Engineering Course for Digital Transformation and Industry 4.0
PT Marka Kreasi Persada,(Alamat Tidak Tersedia),Big Task Mini Project Professional Skill Fundamental UX and UI Designer Guides and Rules on UI UX Fundamental Tools for UI UX Softskill and Documentation on UI UX Capstone Project,Studi Independen,From Beginner to Professional UI/UX Designer
PT Ruang Raya Indonesia,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Final Project: Web Development Programming with Javascript Software Engineering: Implementing the software development process using the Visual Studio Code Code Editor, Terminal, version control, and basic networking.Frontend Web Development With HTML & CSS: Understanding writing HTML and using CSS in basic Web Development Interacting with Web APIs: Understanding how website applications run and display from the client side.Intro to Node.js: Leveraging the NodeJS development ecosystem to develop applications.Frontend Web Development with React:  Memahami fundamental library ReactJS (JSX, Component, Props, State, LifeCycle, Handling Event) dan menggunakan ReactJS untuk membuat Single Page Application.Consuming RESTful API: Understand the fundamentals of RESTful API architecture and apply it in website development on the frontend development side.Frontend Deployment To Production: Understand how to deploy ReactJS applications that have been made so that they can be accessed online using the Netlify / Vercel / Github services Pages General Competencies: General Competencies Additional learning that can support participants' abilities to participate in and implement digital marketing programs which include: 1) Communication and Presentations Skill 2) Analytical & Strategic Thinking Skill",Studi Independen,Frontend Engineering
PT LENTERA BANGSA BENDERANG,(Alamat Tidak Tersedia),Know the Introduction to the World of Programming Be able to use the authentication system from the backend and carry out testing Understand the concept of OOP and be able to run scripts on Node.JS Understand the basics of Front-end (HTML and CSS) Master the basic skills of front end development with the Javascript programming language Create dynamic web displays using ReactJS Able to manage data using Redux State Management Create dynamic web views using ReactJS Part II Perform deployment Collaborate with application development teams with iteration of the testing and evaluation process through the Github repository,Studi Independen,Front End Javasript
PT Mitra Integrasi Informatika,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Introduction to Programming Front-End Programming Back-End Programming Secure Programming Power Platform Fundamental,Studi Independen,Full Stack Developer
PT LENTERA BANGSA BENDERANG,(Alamat Tidak Tersedia),Perform unit testing and deployment Master the basic skills to create web pages Understand the basic logic of Javascript Be able to apply OOP and DOM in web development Design API architecture and documentation Create applications using ReactJS and implement OAuth in React and Express.Introduction - Understanding the Introduction to the World of Programming Able to run code and collaborate with other developers in the system development process Perform database design Collaborate with application development teams with iterative testing and evaluation processes through the Github repository,Studi Independen,Fullstack Web
PT Hacktivate Teknologi Indonesia,"Gedung Aquarius Lt. 1&2, Jl. Sultan Iskandar Muda No. 7,  RT. 005 RW. 009, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240",Exploration of Various Applications of Functions.Understand about packages & tools in Go Programming.Understand and be able to implement Web Server/Service for API Go.Understand the main core of the GO programming language.Understanding the Go to Human Error Handling Approach - Readable Error.Understand about OOP Go Program with Struct Implementation.Understand how Go-Routines and Channels Work.Understand and be able to create Go middleware.Understand the Key Concepts of Microservices.Understand and be able to do API documentation with the GO library.Understand and be able to do testing with Testify,Studi Independen,Golang for Back End Programmer
PT STECHOQ ROBOTIKA INDONESIA,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta",Sensors and Actuators Programmable Logic Controller (PLC) RVM Arm Robot Industrial Control Systems RFID Technology Supervisory Control and Data Acquisition (SCADA) RVM Arm Transfer Metal Stamping,Studi Independen,Hardware Engineering Course for Digital Transformation and Industry 4.0
PT Marka Kreasi Persada,(Alamat Tidak Tersedia),Capstone Project GraphQL Fundalmental Frontend Mastering Frontend with React Professional Skill Mini Project Coding Competence,Studi Independen,How to be an Ideal Top Search ReactJS Front-End Engineer Program 
PT Ozami Inti Sinergi,"Gedung Inkubator Bisnis LPPM UNY, Jln. Gejayan, Gg. Guru Jl. Karangmalang, Karang Gayam, Condongcatur, Depok Sub-District, Sleman Regency, Special Region of Yogyakarta 55281",IoT Device Integration IoT Interface Techniques Android Apps Interface Techniques IoT Web Apps Self-reflection Dynamic teamwork Activity reports and consultations with mentors Soft skill learning and personal activity Concept and analysis of IoT technology requirements Application of electronic circuits and programming algorithms Design of IoT devices using Wemos D1 Data Collecting Device IoT System design and evaluation on the IoT Smart Device Hard skill IoT project & career preparation in the industrial world,Studi Independen,Indobot Academy -  Internet of Things (IoT) Engineer Camp
PT BISA ARTIFISIAL INDONESIA,JLN. IR H JUANDA NO. 84 BANDUNG,Compulsory Learning 2 Compulsory Learning 1 Capstone Project Learning Optional Learning 1 Optional Learning 2,Studi Independen,Infrastuktur Kecerdasan Artifisial (AI-INFRA)
PT DWI INTI PUTRA,(Alamat Tidak Tersedia),Career Mentoring 1 on 1 Support Group Group Mentoring IT Specialist: Python JSON-JavaScript App Development with Swift Certified User Intuit Design for Delight Innovator (Design Thinking) Capstone Project App Development with Swift Associate,Studi Independen,iOS Developer
PT LENTERA BANGSA BENDERANG,(Alamat Tidak Tersedia),Local and Remote Data Storage Understanding the structure of the swift programming language (continued) Using External Dependencies and the Latest Framework from Apple Product class Application Connection with Backend Service Understanding Testing and Deployment of iOS Custom View Applications Using XIB and Interface Navigation Understanding the basics of iOS and swift programming language Create UI views and layouts,Studi Independen,IOS Developer
PT EDUCA SISFOMEDIA INDONESIA,"Jl. Gilingrejo No. 10 Kota Salatiga, Jawa Tengah, Indonesia",Collaboration and Final Project Hard Surface and Organic 3D Modeling Making of Motion Mechanics (Rigging) Making of 3D Object Movement (Animation) Making of Map and Coloring of 3D Material Objects Lighting Process of 3D Rendering of 3D Objects,Studi Independen,Kelas Industri 3D Animator
PT EDUCA SISFOMEDIA INDONESIA,"Jl. Gilingrejo No. 10 Kota Salatiga, Jawa Tengah, Indonesia",Mastering the CSS Framework to Create a Basic User Interface - Basic Website Creation with HTML and CSS Creating Syntactically Compiled CSS Mastering the Javascript Framework to Maximize User Experience Unit Testing and Debugging Collaboration and Final Project,Studi Independen,Kelas Industri Front-end WebDev
PT EDUCA SISFOMEDIA INDONESIA,"Jl. Gilingrejo No. 10 Kota Salatiga, Jawa Tengah, Indonesia",Making Simple Educational Games Without Coding Expertise in Using Javascript as a Basis for Making Programming Logic Ability to Make Simple Animations Using Javascript Making Simple Endless Run Games Making Simple Platformer Games Collaboration and Final Projects,Studi Independen,Kelas Industri Game Developer
PT EDUCA SISFOMEDIA INDONESIA,"Jl. Gilingrejo No. 10 Kota Salatiga, Jawa Tengah, Indonesia",Mastering CorelDRAW Software as a Graphic Processor Basic Principles of Graphic Design Getting to Know Illustrations Creating Assets Collaborative Game Interfaces and Final Projects Creating Vector Illustrations Using CorelDRAW Software,Studi Independen,Kelas Industri Seniman Digital
PT STECHOQ ROBOTIKA INDONESIA,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta","Value Stream Mapping System Improvement Built in Quality, Visualization and Industrial Abnormality Response System (SCW) and Opportunities for Implementing Industrial Transformation 4.0 Technology Supporting Industrial Transformation 4.0 Planning, Execution, and Evaluation of Industrial Transformation 4.0 Solutions for Improving Stabilization & Efficiency of Work Processes Solutions for Repairing Pull & System Systems Process Improvements Between Production Lines",Studi Independen,Lean Manufacture Engineering Course for Digital Transformation and Industry 4.0
PT Marka Kreasi Persada,(Alamat Tidak Tersedia),Coding Competence Basic Object Oriented Programming Dart Programming Project Management Interface Manipulation Mini Project Architecture and System Integration Professional Skill Capstone Project,Studi Independen,Mastering Flutter. From Zero to Hero Engineer Program
PT Marka Kreasi Persada,(Alamat Tidak Tersedia),Basic Pemograman Golang Algorithm and Structure Data Deployment CI/CD Capstone Project Database Management System Design and Management Project Rest API Professional Skill Mini Project Coding Competence,Studi Independen,Mastering Golang Programming Engineer Program
PT STECHOQ ROBOTIKA INDONESIA,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta","Automation aspects: Sensor and Actuators Basic actuator: Determining Motor Size Mechanical Design: Design for Manufacture and Assembly Machine element: bearing, shaft and gears Actuator for beginner:  Electro-pneumatic Mechanical Design:  The basic ""Mechanical Design:  Sheetmetal-working""",Studi Independen,Mechanical Engineering Course for Digital Transformation and Industry 4.0
