mitra_name,position_name,address,description
PT Mafela Ranca Wana,2D Artist,"Jl. Tan Malaka No. 138 Lt 3 , Kota Payakumbuh,
Sumatera Barat","Framing Shot Picture Illustration Environment Basic Understanding Drawing Perspective, Proportion and Composition Storyboard Concept Art Character Visual Editing"
PT Baracipta Esa Engineering,3D Artist,"Jl. Mijil No. 98 Karangjati, Ngemplak, Kel. Sinduadi, Kec. Mlati, Sleman, Prov. Daerah istimewa Yogyakarta 55284","Understanding of the concept design and schematic design of residential houses Understanding of structure, construction, and building materials Soft skill capabilities: creativity, innovation, initiative, collaboration, communication Understanding of consultant management, and design planning flow Architecture Presentation and marketing of product results Ability to use Modeling and Applications renderings"
PT Telkom Indonesia (Persero) Tbk,3D Content Creator,"Jl Japati 1, Bandung",Content Design Strategic Communication Plan Content Delivery Content Review Content Strategy Value - Kompeten	 Value - Amanah	 Value - Adaptif	 Value - Harmonis	 Value - Kolaboratif	 Value - Loyal	 Job Performance
PT Telkom Indonesia (Persero) Tbk,3D Content Creator,"Jl Japati 1, Bandung",Content Design Content Review Content Strategy Strategic Communication Plan Content Delivery Value - Kompeten	 Value - Harmonis	 Value - Loyal	 Job Performance Value - Amanah	 Value - Adaptif	 Value - Kolaboratif
PT STECHOQ ROBOTIKA INDONESIA,3D Designer for Digital Transformation and Industry 4.0,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta",Lighting Rendering Modeling untuk Manufaktur Sclupting Rigging dan Animasi 3D Modeling Texturing Shadering UV Mapping Business Development Based on Product Innovation
PT GIT SOLUTION,3D Generalist,,"Understanding of the 3D production process and its implementation Layouting and lighting Animating Introduction to 3D for game production Making modeling and texturing for the needs of Game Rigging characters, character animation and cameras"
PT Global Tiket Network,3D Illustrator ,"Wisma Barito Pacific II Lantai. 8, Jalan Letnan Jenderal Siswondo Parman Kavling. 60, Desa/Kelurahan Slipi, Kec. Pal Merah, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta, Jakarta Raya Indonesia
",Mastery - Design  Business Knowledge Producing Results  Interpersonal Relationships  Teamwork & Collaboration
PT Mafela Ranca Wana,3D Modeler,"Jl. Tan Malaka No. 138 Lt 3 , Kota Payakumbuh,
Sumatera Barat",Use of Simple Rigging to Build a Space Simple Navigation and Basic Tools of 3D Modeling Deepening of the characteristics of 3D Modeling Basic Use of Modifier Tools Shader Introduction
PT ECART WEBPORTAL INDONESIA,3PL Operation Intern,,Presentation Skill Data Processing Skill Basic Audit and Administrative Skill Problem Solving Communication Skill Logical Thinking Skill Project Management Skill
PT Suitmedia Kreasi Indonesia, Account Executive,"Suitmedia HQ
Jl. Pejaten Barat II No. 3A 
Jakarta, Indonesia 12510","Pemahaman terkait Kick-off Meeting, Project Timeline, & Project Management Tools.Understanding of digital industry trends, Digital Assessment, & Technical Development Knowing how to interview clients, make Minutes of Meetings, Job Requests, & understand the Scope of Work.Understanding of Quotation, Change Request, & negotiation in sales.Understanding of Maintenance services, Upselling, & NPS.Understanding of project administration documents, weekly progress reports, & handover reports.Understanding of Company Profile, & Services Finding Leads, introductory email, and using HubSpot CRM tools"
PT Home Credit Indonesia,Accounting,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520
",Dynamic teamwork Microsoft Excel skills Understanding effective ways of making journals and actual Adaptability Making journals through the SAP system
PT Simplefi Teknologi Indonesia,Accounting,"Tokopedia Tower Ciputra World 2 Lt.37 Jl. Prof. Dr. Satrio No. Kav. 11 RT.3/ RW.3, Karet Semanggi, Jakarta Selatan 12950",Help take care of day-to-day operational Finance Team Help manage the annual report Manage and assist the audit process Manage and assist the fundraising process Help check and manage financial documents
PT Hashmicro Solusi Indonesia,Accounting & Finance,"Neo Soho Podomoro City, Jalan Letjen S. Parman Kav. 28, Jakarta Barat",Collection of Financial Administrative Accounting Data Preparation of Disciplined Financial Reports
PT Abbauf Mulia Konsultan Teknologi,Account Manager,"APL Tower Central Park Lantai 19 Unit T7, Jl. Letjen S. Parman No.Kavling 28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Develop Marketing Strategy Analysis of System Requirements and Product-Related Market Targets Monitor Cooperation Teamwork Dynamically Acquire Target Markets Prepare Marketing Support Materials Follow-up Client Maintenance Target Acquisition Determine Target Market Document Compilation and Production
PT Karya Dua Anyam,Admin Operation Intern,,"Prepare sales frameworks and contracts by coordinating with HR and legal Crealogy team Ensure documents and administration of cooperation with sales, LA and vendors related to acquisition and retention of external communications with vendors, sales and LA Monitoring reports, contracts, administration needed to build vendor collaboration acquisition and retention Record and check the status of daily acquisition data and perform daily recap archiving and documentation from vendors, sales and LA checking the validity or accuracy of acquisition data Creating reporting templates and making billing reports reporting for each vendor, LA and agent Ensuring the acquisition team performs proper and correct recording of making weekly and monthly reports on the achievements of the acquisition team and retention of payment recapitulation and submission of payments to the finance team Crealogy Making trackers for each vendor account, LA and agents Making reports and BAST to sales directions and explanations to the acquisition team in recording data Ensuring that every vendor, agent and LA reports according to a predetermined period"
PT ECART WEBPORTAL INDONESIA,Admin & Performance Intern,,Understand Micrsoft Office Data Analytical Skill Presentation Skill Focus on Detail Komunikasi Problem Solving Strategic Analysis using Excel
PT Hashmicro Solusi Indonesia,Advertiser,"Neo Soho Podomoro City, Jalan Letjen S. Parman Kav. 28, Jakarta Barat",Marketing Development Marketing Communication SEO Advertising / Disciplined Advertising
PT Vidio Dot Com,Advertising Operations (Emtek Digital),"SCTV Tower, Senayan City, Jakarta Pusat","Can manage trading, delivery, optimization, and reporting of digital campaigns.Can ensure projects/campaigns run smoothly. Can manage communication with related teams and also stakeholders. Communication Skills Team Work"
PT Hashmicro Solusi Indonesia,Affiliate and Brand Partnership,"Neo Soho Podomoro City, Jalan Letjen S. Parman Kav. 28, Jakarta Barat",Presentation & Reporting Skill Critical Thinking & Creative Thinking Planning & Organizing Skills Proyek Kolaborasi Kedisiplinan
Yayasan Adipurna Inovasi Asia,Affiliate Partnership & Sales,,Soft Skills  Affiliate Partnership Kehadiran Sales Performance Social Media Marketing
PT Nodeflux Teknologi Indonesia,AI Engineer,Jakarta Indonesia,MLOps and Continous Improvement on AI Systems AI Product Development Project - Practical Guidelines to Code Quality and Review Process - Product Knowledge and Value - Design Thinking Dasar Pengolahan Citra ( Image Processing) dan  Visi Komputer (Computer Vision / CV) Dataset Operation (Insight and Visualization) Advance Deep Learning Methods and Optimization Model Analysis and Evaluation End to end machine learning pipeline deployment Dasar Kecerdasan Buatan  (Artificial Intelligence / AI)
PT Widya Inovasi Indonesia,AI Vision Engineer ,"Jl. Palagan Tentara Pelajar KM 7.5 No.31A, Mudal, Sariharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581",AI Debugging technology research Dataset annotation Dataset collection AI model design
PT Pundi Mas Berjaya,Analisis Sistem,"Jl. Kw. Industri Tunas 2 No.7D, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444","Analysis of a system Dynamic teamwork Creation of system flow, database and prototype Job analysis of required positions, system documentation Preparation of URS - User Requirement Specification ) Analysis of user needs"
PT Disty Teknologi Indonesia,Analist Sistem ,"Gedung Graha Pena Lantai 5
Jl. A.Yani No. 88 Surabaya",Information System Analysis / Software Engineering Management Information Systems Database Design Basic Programming Web User Interface Design Business Process Basic Models System Testing Financial Information Systems Network Engineering & Cloud Computing Digital-Based Finance Hospital Management Information Systems Project Management Information Systems Executive Information Systems
PT GIT SOLUTION,Android Developer,,"Understanding of application design, use of APIs, local database, programming, and design patterns Class orientation (Brainstorming, Team Work, Introduction to Tools) Use of android studio Implementation of versioning control (Gitlab, Bit bucket, etc.) Java / kotlin programming (Client Server Applications) Introduction to Android Developers"
PT Home Credit Indonesia,Android Developer,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520
",Programming Language Project Management Dynamic teamwork Adaptability Development Skills
PT Vidio Dot Com,Android Engineering,"SCTV Tower, Senayan City, Jakarta Pusat","Able to plan, test and monitor all work-related functions related to Android Engineer Teamwork Skill Communication Skill Reporting Skill Understanding Tools"
PT Traveloka Indonesia,Android Engineer Intern,"Traveloka Campus (d/h Green Office Park 1) North Tower, Jl Grand Boulevard, BSD Green Office Park, Kel. Sampora, Kec. Cisauk,  Kab.Tangerang, Prov. Banten",Core Competency: Accountability Technical Competency: UI Development Core Competency: Communication & Collaboration Technical Competency: Software Engineering Life Cycle Technical Competency: Debugging Technical Competency: Subversioning (Git) Core Competency: Drive for Result Core Competency: Practical Innovation Technical Competency: Programming Technical Competency: Testing Technical Competency: Writing Technical Documentation
Yayasan Adipurna Inovasi Asia,Animator,,Soft Skills  Design Aset / Vector Project Management Storyboard Making Motion Graphic Audio Editing
PT Mafela Ranca Wana,Animator,"Jl. Tan Malaka No. 138 Lt 3 , Kota Payakumbuh,
Sumatera Barat","Lipsing and Expression of Characters Introduction to Timing Pose to Pose Breakdown, Follow Through, Anticipation and Over Shot in a scene Introduction to Simple Poses Introduction to Basic Motion Principles of Animation Designing a scene according to the storyboard"
PT XL Axiata Tbk,API Microservice Intern,,Agile
PT Home Credit Indonesia,AP Intern,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520
",Dynamic teamwork Microsoft Excel & Word skills Understanding effective ways of verifying invoices Making journals through the SAP system Adaptability
Yayasan Adipurna Inovasi Asia,App Developer (Programmer),,Soft Skill IT Project Management ICT Software Development Etos Kerja
PT Mitra Integrasi Informatika,Application Developer,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Documentation Skill Communication Skill Coding Presentation Skill Analytic Skill
PT Inamas Sintesis Teknologi,Architect Engineer,"Jl. Werkudara 4, Kel. Wirobrajan, Kec. Wirobrajan, Yogyakarta, D.I.Yogyakarta 55252",CAD Design & Drafting Communication and Teamwork Engineering Design Process Leadership Architectural 3D Design
PT ECART WEBPORTAL INDONESIA,AR Logistic Intern ,,"Project Management Presentation Skill Problem Solving Ms. Office Skill (Excel, Power Point, Word, Outlook) Communication Skill Reporting Skill Finance Competency Skill"
PT ECART WEBPORTAL INDONESIA,AR Platform Intern,,"Communication Skill Finance Competency Skill Problem Solving Ms. Office Skill (Excel, Power Point, Word, Outlook) Presentation Skill Project Management Reporting Skill"
PT Baracipta Esa Engineering,Arsitek,"Jl. Mijil No. 98 Karangjati, Ngemplak, Kel. Sinduadi, Kec. Mlati, Sleman, Prov. Daerah istimewa Yogyakarta 55284","Preparation of technical documents in the form of: DED, RAB, RKS Soft skills: creativity, innovation, initiative, collaboration, communication Product presentation and marketing Understanding of structure, construction, and building materials Understanding of construction, consulting management, and architectural design planning flow Capability use of Building Information Modeling (BIM) Concept design and schematic design of residential houses"
PT Semesta Integrasi Digital, Assessment Developer,"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.",Conducting a Literature Study Analysis of the results of the assessment Compilation of an Assessment of Ability to Coordinate Design Impact Report Presentation of Work Results
PT Semesta Integrasi Digital,Associate Facilitator Offline,"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.",Class management Assertive Communication Coordination Capability Class Facilitator Content management
PT Semesta Integrasi Digital,Associate Facilitator Online,"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.",Class Facilitator Class Management Content Management Coordination Capability Assertive Communication
PT Uni Tokopo Teknologi,Associate Product Manager,"Jl. Simprug Golf III No. 71, Grogol Selatan, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",Practical Job Information System Project User Interface Product Development Data Analysis - Product Measurement Human Resource Management
PT Digdaya Olah Teknologi Indonesia,Associate Project Manager,"Jl. Jend. Sudirman Kav. 25, RT.10/RW.1, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",Problem Solving Allocation Skills Agile and Scrum Comprehension Team Communication Project Management Ability to write articles based on research or experience Ability to work in agile organizations or teams
PT Semesta Integrasi Digital,Associate Software Engineer ,"Jl. Jeruk Purut Dalam No.33, RT.6/RW.3, Cilandak Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560.",Software Engineering Principles of Software Development Software Testing Ability Coordination Research and Needs analysis
PT Digdaya Olah Teknologi Indonesia,Associate System Analyst,"Jl. Jend. Sudirman Kav. 25, RT.10/RW.1, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",Ability to write articles based on research or Project Analysis experience using SLA Communication Skills Business Process Comprehension Presentation Skills Ability to work in agile organizations or teams Project Decision and Suggestion Making Problem Solving
PT Inamas Sintesis Teknologi,Automation Engineer,"Jl. Werkudara 4, Kel. Wirobrajan, Kec. Wirobrajan, Yogyakarta, D.I.Yogyakarta 55252",Electrical Control System Design PLC Programming Industrial Protocol Communication Communication & Teamwork Engineering Design Process Leadership
PT ECART WEBPORTAL INDONESIA,Automation MHE - Maintenance Intern,,Conveyor System Knowledge Communication Skill Administration Skill Presentation Skill Maintenance and Problem Solving Conveyor System Project Management Problem Solving
PT Telkom Indonesia (Persero) Tbk,Back-end Developer,"Jl Japati 1, Bandung","Software Development Life-Cycle Data Management Component Integration  Usability, vulnerability assessments and secure testing  Architecture Design Application Design Value - Amanah	 Value - Adaptif	 Job Performance Value - Harmonis	 Value - Loyal	 Value - Kolaboratif	 Value - Kompeten"
Perkumpulan Sosial Ekonomi Akselerator Lab,Backend Developer,"Kawasan Ekonomi Khusus Singhasari, Raya Klampok Blok D2 no 16 Purwoasri, Singosari, Kab. Malang",Database Design Cloud Computing Backend Programming Leadership and Collaboration Software Testing Digital Product Innovation Server Management Project Management
PT Pundi Mas Berjaya,Back End Developer,"Jl. Kw. Industri Tunas 2 No.7D, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444",Basis Data XHR (AJAX) & API Docker & Linux OS Git command Algoritma
PT Indonesia Indicator,Back End Developer,"Menara Sudirman Lt. 15 Lot A Jl. Jendral Sudirman Kav. 60 RT. 005, RW. 003, Senayan, Kebayoran Baru, Kota Jakarta Selatan, DKI Jakarta, 12190
",Project Management Service & Database REST API Clean Architecture Web Service using Framework
PT Central Artificial Intelligence,Back End Developer,-,Jr. Back End Developer Manajemen Team Work Public Speaking Paradigma Pemrogaman QA Testing Jr. API Engineer System Analyst
PT Abbauf Mulia Konsultan Teknologi,Back End Developer,"APL Tower Central Park Lantai 19 Unit T7, Jl. Letjen S. Parman No.Kavling 28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Dynamic teamwork Coding WebGis with Codeigniter or AdonisJS Quality Control Compilation of SRS- System Requirment Specification Database Design Understanding of Designation Analysis API Development Database Implementation using PostgreSQL Deployment
PT Adma Digital Solusi,Back End Developer ,"Jl. Sidosermo Airdas No.A8, Sidosermo, Kec. Wonocolo, Kota SBY, Jawa Timur 60239","Creation of a simple CRUD Rest API using the Sanctum package in the Laravel Framework Collaborating with Front End Developers in building or developing products (Real Case) Understanding of implementing migrations, factories and seeders Understanding of how to create relationships between tables using eloquent ORM Understanding of laravel installation and deploying blades templates Understanding of the Rest API in Laravel Planning and building a simple CRUD (Create, Read, Update and Delete) system using the Laravel framework"
PT Widya Inovasi Indonesia,Back-End Developer,"Jl. Palagan Tentara Pelajar KM 7.5 No.31A, Mudal, Sariharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581",Code review Collaboration between divisions Unit test code API implementation Commit & push code
Yayasan Adipurna Inovasi Asia,Backend Developer (programmer),,Soft Skills ICT Software Development IT Project Management Etos Kerja
PT Generasi Anak Muda Berkarya,Backend Development,"Grand Slipi Tower, CHR Offce Unit O Lt 9, Jl. Letjend S Parman Kav 22-24, Jakarta Barat, 11480",Designing Databases Creating Features with Clean Code Architecture Fixing Error Code from a Program Creating Protocols using RESTFUL API Analyzing business processes of products
PT Global Tiket Network,Backend Engineer,"Wisma Barito Pacific II Lantai. 8, Jalan Letnan Jenderal Siswondo Parman Kavling. 60, Desa/Kelurahan Slipi, Kec. Pal Merah, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta, Jakarta Raya Indonesia
",Teamwork & Collaboration Tableau Access Management Feature Store  Communication  Analytical Thinking
PT Digdaya Olah Teknologi Indonesia,BackEnd Engineer,"Jl. Jend. Sudirman Kav. 25, RT.10/RW.1, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",Compliance with SOP Project Management Implementation of standardization of Company Code Ability to write articles based on research or experience Requirement analysis Bug Solving Understanding new technologies Initiative in managing information Ability to work in an agile organization or team
PT Traveloka Indonesia,Backend Engineer Intern,"Traveloka Campus (d/h Green Office Park 1) North Tower, Jl Grand Boulevard, BSD Green Office Park, Kel. Sampora, Kec. Cisauk,  Kab.Tangerang, Prov. Banten",Core Competency: Accountability Technical Competency: Writing Technical Documentation Technical Competency: Software Engineering Life Cycle Core Competency: Drive for Result Technical Competency: Programming Core Competency: Communication & Collaboration Technical Competency: Subversioning (Git) Technical Competency: Debugging Technical Competency: Data Base Technical Competency: Testing Core Competency: Practical Innovation
PT BISA ARTIFISIAL INDONESIA,Backend Programmer,JLN. IR H JUANDA NO. 84 BANDUNG,Project Management Jr.Database Programmer Inference Backend DevOps dan Team Work Jr. Backend Programmer
PT ECART WEBPORTAL INDONESIA,Beauty LazGlobal - Intern,,Manajemen Proyek Dasar Management Skill Presentation Skill Problem Solving Communication Skill Negotiation & Communication Skill Analisa Data
PT Indonesia Indicator,Block Chain Developer,"Menara Sudirman Lt. 15 Lot A Jl. Jendral Sudirman Kav. 60 RT. 005, RW. 003, Senayan, Kebayoran Baru, Kota Jakarta Selatan, DKI Jakarta, 12190
",Architecture Blockchain Smart Contract
PT Traveloka Indonesia,Brand Activation Intern,"Traveloka Campus (d/h Green Office Park 1) North Tower, Jl Grand Boulevard, BSD Green Office Park, Kel. Sampora, Kec. Cisauk,  Kab.Tangerang, Prov. Banten",Core Competency: Communication & Collaboration Technical Competency: Data Analytics Core Competency: Practical Innovation Core Competency: Accountability Core Competency: Drive for Result Technical Competency: Brand Marketing Technical Competency: Managing Stakeholders Technical Competency: Project Management
PT Home Credit Indonesia,Brand & Communication,"Plaza Oleos Lantai 8 Jl. TB Simatupang No. 53A, Jakarta Selatan 12520
",Dynamic teamwork Presentation skills Communication Skills Project Management Designing and making publications Adaptability
PT XL Axiata Tbk,BRM Intern,,Agility
UPT Solo Technopark,Building and Area Development Officer,"Jl. Ki Hajar Dewantara No.19, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah, Indonesia 57126",Adaptability Leadership and Teamwork Communication and Collaboration Problem Solving and Critical Thinking Work Ethics and Professionalism Project Management and Time Management Creativity
UPT Solo Technopark,Building and Asset Management Officer,"Jl. Ki Hajar Dewantara No.19, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah, Indonesia 57126",Project Management and Time Management Communication and Collaboration Leadership and Teamwork Problem Solving and Critical Thinking Adaptability Creativity Work Ethics and Professionalism
PT Pilihanmu Indonesia Jaya,Business Acquisition,"Jalan Asem Baris Raya Blok A17, Kebon Baru, Tebet, Jakarta Selatan, DKI Jakarta",Personal Business Skill Business Insight Strategy acquisition Partnership for acquisition Communication of persuasion & negotiation Target customer acquisition
PT Nodeflux Teknologi Indonesia,Business Affair,Jakarta Indonesia,Reporting Structure Customer Relationship Management (CRM)  Integrated Dashboard Business Process Management (BPM) Internal Stakeholder Communication
PT Telkom Indonesia (Persero) Tbk,Business Analyst,"Jl Japati 1, Bandung",Business Process Management Business Strategy & Plan Business/ Industry Understanding Valuation & Business Performance  Risk Management Value - Amanah	 Value - Kompeten	 Value - Harmonis	 Job Performance Value - Loyal Value - Kolaboratif	 Value - Adaptif
PT Mitra Integrasi Informatika,Business Analyst,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Logic and Analysis Developing BRD Teamwork Documents Describing Business Process Basic Programming
PT Telkom Indonesia (Persero) Tbk,Business Analyst,"Jl Japati 1, Bandung",Business/ Industry Understanding Business Process Management Valuation & Business Performance  Business Strategy & Plan Risk Management Value - Amanah	 Value - Kolaboratif	 Job Performance Value - Adaptif	 Value - Harmonis	 Value - Kompeten	 Value - Loyal
PT Simplefi Teknologi Indonesia,Business Analyst,"Tokopedia Tower Ciputra World 2 Lt.37 Jl. Prof. Dr. Satrio No. Kav. 11 RT.3/ RW.3, Karet Semanggi, Jakarta Selatan 12950","Assisting in making business data visualization Assisting in analyzing business data Collaborating with related departments to support the smooth running of Business Intelligence (BI) Collaborating with other departments in creating insights and analyzing business data Preparing business data reports for daily, weekly, monthly needs"
PT Telkom Indonesia (Persero) Tbk,Business Analyst,"Jl Japati 1, Bandung",Risk Management Valuation & Business Performance  Business Process Management Business/ Industry Understanding Business Strategy & Plan Value - Harmonis	 Job Performance Value - Kompeten	 Value - Amanah	 Value - Adaptif	 Value - Loyal	 Value - Kolaboratif
PT Inamas Sintesis Teknologi,Business Analyst ,"Jl. Werkudara 4, Kel. Wirobrajan, Kec. Wirobrajan, Yogyakarta, D.I.Yogyakarta 55252",Analytical Thinking Critical Thinking Problem Solving
PT Nodeflux Teknologi Indonesia,Business Analyst - CEO Office,Jakarta Indonesia,Executive Information System Design & Implementation Market Analysis Business Analysis Product Competitive Analysis & value propositioning  Performance management and alignment
PT Nodeflux Teknologi Indonesia,Business Analyst & Development,Jakarta Indonesia,Business Development  Customer Life-cycle Management Business Model  Business Improvement & Innovation Business Analysis
PT Nodeflux Teknologi Indonesia,Business Analyst (identifAI),Jakarta Indonesia,Information Systems for Management Business Analysis Design Thinking Strategic Management in Business Business Management Knowledge & Skill Business Operations Account Management & Customer Life-cycle Management Corporate Culture & Leadership Digital Business & Marketing
PT Linimuda Inspirasi Negeri,Business and Development Internship Program,"Griya Dros, Jl KH Abdullah Syafei No 1 (Tebet Utara Dalam 34), Kel. Tebet Timur, Kec. Tebet, Kota Adm. Jakarta Selatan, Prov. DKI Jakarta",Database Management Management of collaborative collaboration with clients Able to make pitch presentations to prospective clients Analysis of business potential through market research and competitor strategies End-to-end networking process for prospective clients with a strategic approach Mapping potential collaborations that can be carried out with prospective clients Outbound selling skills
PT Generasi Anak Muda Berkarya,Business Developement,"Grand Slipi Tower, CHR Offce Unit O Lt 9, Jl. Letjend S Parman Kav 22-24, Jakarta Barat, 11480",Preparation of bid proposal documents Preparation of cooperation documents Mastery of product knowledge Negotiation and communication Analysis of business development research and competitors Market analysis and research Knowledge of consumer segments Follow up leads
PT Telkom Indonesia (Persero) Tbk,Business Development,"Jl Japati 1, Bandung",Marketing Intelligence & Research Marketing Strategy & Plan Customer Relationship Management Campaign Management Marketing Performance Evaluation Digital Content Management Job Performance Value - Kompeten	 Value - Loyal	 Value - Kolaboratif	 Value - Harmonis	 Value - Amanah	 Value - Adaptif
PT Central Artificial Intelligence,Business Development,-,"Digital marketing skills Team Work and Creativity Research Analysis and business management Presentation, pitching and drafting related documents"
PT GIT SOLUTION,Business Development,,Understanding of business development strategy by looking for new opportunities that allow for the formation of a new business that can be marketed.Product Branding Market research & mapping Fundamentals of marketing science Marketing strategy
PT BISA ARTIFISIAL INDONESIA,Business Development,JLN. IR H JUANDA NO. 84 BANDUNG,Team Work Manajemen Proyek Public Speaking Business Development Business Management
PT Telkom Indonesia (Persero) Tbk,Business Development,"Jl Japati 1, Bandung",Marketing Strategy & Plan Campaign Management Marketing Performance Evaluation Digital Content Management Marketing Intelligence & Research Customer Relationship Management Value - Kompeten	 Value - Loyal	 Job Performance Value - Harmonis	 Value - Adaptif	 Value - Amanah	 Value - Kolaboratif
PT Inamas Sintesis Teknologi,Business Development,"Jl. Werkudara 4, Kel. Wirobrajan, Kec. Wirobrajan, Yogyakarta, D.I.Yogyakarta 55252",Decision Making Critical Thinking Leadership Analysis and Communication Planning
PT Hashmicro Solusi Indonesia,Business Development,"Neo Soho Podomoro City, Jalan Letjen S. Parman Kav. 28, Jakarta Barat","Business analysis and management Presentation, pitching, and compiling related documents Sales and marketing skills Standard operating procedure (SOP) Discipline"
