mitra_name,course_name,address,description
PT Cloud Ace Integra,Basic Fundamental of Google Cloud Platform,"Nippon Bldg 11F #1106, 2-6-2 Otemachi, Chiyoda-ku,
Tokyo 100-0004 Japan  / Cohive 101 Mega Kuningan","Part 4 - Introduction to Computing in Google Cloud Part 8 - Managing Kubernetes Cluster Part 1 - Overview of Google Cloud Platform Part 2 - Google Cloud Computing Services Part 3 - Projects,Service Accounts, And Billing Part 5 - Computing with Compute Engine Virtual Machines Part 6 - Managing Virtual Machines  Part 7 - Computing with Kubernetes Part 9 - Computing with App Engine Part 11 - Planning Storage  in the Cloud Part 12 - Deploying Storage on Google Cloud Platform Part 10 - Computing with Cloud Function Part 13 - Loading Data into Storage Part 14 - Networking in the Cloud: Virtual Private Clouds and Virtual Private Networks Part 15 - Networking in the Cloud: DNS, Load Balancing, and IP Addressing Part 16 - Deploying Applications with Cloud Launcher and Deployment Manager Part 17 - Configuring Access and Security Part 18 - Monitoring, Logging, and Cost Estimating"
PT Marka Kreasi Persada,Be a Top Search Quality Engineer,,Coding Competence Mini Project Basic Software Testing Software Performance Testing Software Programming Multi-Platform Testing Capstone Project
PT Neosia Pratama Indonusa,"BIM & Digital Twins - Architecture, Civil Engineering and Construction","Sona Topas Tower, lt. 5A/526. Jl. Jendral Sudirman, KAV 26. Karet Kuningan, Setiabudi.
Jakarta Selatan. DKI Jakarta",Disciplined BIM Modeling Structure BIM Modeling Disciplined Architecture Workflow Building and Infrastructure Modeling Presentation and Visualization Project Workflow analysis and team collaboration on BIM Modeling Projects Structure Analysis BIM Modeling Mechanical Disciplines BIM Modeling Electrical Disciplines BIM Modeling Generative Components Project Digital Collaboration AEC
PT BISA ARTIFISIAL INDONESIA,Bisnis Kecerdasan Artifisial (AI-HUSTLER),JLN. IR H JUANDA NO. 84 BANDUNG,Compulsory Learning 1 Compulsory Learning 2 Optional Learning 2 Optional Learning 1 Capstone Project Learning
PT BISA ARTIFISIAL INDONESIA,Blockchain Kecerdasan Artifisial (AI-BLOCKCHAIN),JLN. IR H JUANDA NO. 84 BANDUNG,Optional Learning 2 Compulsory Learning 1 Compulsory Learning 2 Optional Learning 1 Capstone Project Learning
PT Neosia Pratama Indonusa,CAD/CAM & CAE - Mechanical  Engineering Design & Analysis,"Sona Topas Tower, lt. 5A/526. Jl. Jendral Sudirman, KAV 26. Karet Kuningan, Setiabudi.
Jakarta Selatan. DKI Jakarta",Mechanical Modeling with Autodesk Inventor CAD/CAM/CAE with Solidworks Drafting with AutoCAD Mechanical Project Mechanical Digital Collaboration
PT CADFEM SIMULATION TECHNOLOGY INDONESIA,CADFEM Ansys - Computational Fluids Dynamic (CFD) Learning Track,"Munich, Germany",Fluid Kinematics Simple Approximations of Fluid Flows What are Fluids?Governing Equations of Fluid Dynamics Dimensional Analysis and Similarity Studi Kasus Fluid Statics Viscous Laminar Flows Sertifikasi Internasional
PT CADFEM SIMULATION TECHNOLOGY INDONESIA,CADFEM Ansys - Finite Element Analysis (FEA) Learning Track,"Munich, Germany",Studi Kasus Sertifikasi Internasional Stress Analysis in Solid Mechanics Strain in Deformation Analysis Stress and Local Equilibrium Structural Dynamics Time Domain Dynamic Problems Structural Nonlinearity Large Deformation Modal Analysis
PT Mitra Talenta Grup, Celerates Acceleration Program (Big Data & Business Intelligence),"The Manhattan Square Mid Tower 12th Floor. Jl. TB Simatupang Kav 1-S, Jakarta, 12560.",Database & SQL Python for Data Analytics Data Warehouse ETL (Pentaho) Statistic Data Visualization (Tableau & Power BI) Big Data & Cloud Technology Machine Learning Deep Learning
PT Chairos International Ventures,Cloud Computing For Jobseekers,Gedung GMT Lt. 3 Jl. Wijaya 1 no. 5 Petogogan Kebayoran Baru Jakarta Selatan ,"1.Fundamental of Cloud Computing 2.Databases and Files 3.Python Programming 4.Linux Fundamental 6.AWS IAM & Networking 10.Final Project 5.AWS Cloud Introduction 8.AWS Security & Billing 7.AWS Storage, Compute, and Database 9.AWS Certified Cloud Practitioner Exam Preparation"
PT DWI INTI PUTRA,Data Analyst,,Capstone Project Support Group Introduction to Python  Group Mentoring Microsoft Office Specialist: Excel Associate   Career Mentoring 1 on 1 Microsoft Office Specialist: Excel Expert  Microsoft Power Platform Fundamental (PL-900) IT Specialist: Data Analytics IT Specialist: Databases
PT Greatedu Global Mahardika,DATA ANALYTICS ,"8A, RT.12/RW.1, Pejaten Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",Identify and summarize basic knowledge about Data Analytics Have initiative and be responsible Self-reflection Develop soft skills that a Data Analyst must possess Career preparation for prospective Data Analysts Use excel as a starting point for data analysis Be active and independent Operate NumPy as a tool for numerical computation process Create visualization of data using charts and plots in python Final Project: Providing insights/recommendations to the team from the results of data analysis Applying statistics as a basis for conducting data analysis Creating documentation and basic mathematics in python Operating Pandas to manage tabular data Applying the Data Wranging process to processing data Finalizing data analysis and visualization using python tools and python libraries Operate python libraries using NumPy and Pandas
PT. INDOBIT DIGITAL RAYA,Data Analytics for Business,"Educenter building unit 22218
Kav Commercial International School II No 8 BSD City, Jalan Sekolah Foresta, BSD City, Tangerang, Banten 15331",Program Onboarding Data Collection Overview of Being Data Analyst & Opportunities in Industry Introduction to Data Analytics and Relational Database Concept Data Preparation for Visualisation Introduction to Python  Programming for Data Analytics Career Preparation Essentials Project-based Learning Graduation Day SQL for Data Analytics Business Analysis and Problem Solving Exploratory Data Analysis with Python Data Dashboarding 101 and Create Valuable Insight Communicate Insights through Data Storytelling Mid Exam Soft skills for Young Professionals
PT Mitra Integrasi Informatika,Data Analytic with Power Platform and Business Intelligence Tools,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","Data Concept & Environment Office Word-Excel-PowerPoint Data Mining Data Analysis Office 365 Data Governance, Quality, & Control Power BI Data Analyst"
PT Ruang Raya Indonesia,Data Business & Analytics,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Digital Product Analytics: understand the basics of digital product analytics to improve operational systems in business.Data & Visualization with Tableau Understand how to visualize data using Tableau so that data can be more easily understood.SQL for Analytics: Understand the basics of SQL and be able to use it for data extraction from relational databases Introduction to Data Analytics for Business: Compile, sort, process and study business data using certain methods and techniques to turn it into a business insight.Final Project: able to execute a series of data analytic projects that represent real-cases in the industry covering the stages of data preparation, data processing, modeling up to the visualization (dashboard) stage.General Competencies: Additional learning that can support participants' ability to participate in and implement digital marketing programs which include: 1) Communication and Presentation Skills 2) Analytical & Strategic Thinking Skills"
PT DWI INTI PUTRA,Data Scientist,,"Python (Panda, Numpy, Seaborn, Matplotlib) IT Specialist: Python  Support Group Capstone Project Fundamental of Statistics IT Specialist: Databases Career Mentoring 1 on 1 Group Mentoring Microsoft Azure AI Fundamentals (AI-900)"
PT Mitra Semeru Indonesia,Digital Marketing Camp,"Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan



","03.Branding on Logo, Tagline, Brand Value & Brand Story 05.Website & Landing Page 07.Graphic Design 09.Public Speaking & Live Streaming 11.Paid Traffic FB & IG 13.Paid Traffic of Google Ads 14.Conversion by Power Closing 01.Digital Growth Mindset 04.Building Assets on Social Media & Marketplace 08.Video Making 12.Paid Traffic of TikTok 15.Power Magnetic Funneling 02.Keyword Research & Market Research 10.Traffic Generations of Organic Traffic & Social Orchestra 16.Flywheel CRM Marketing 06.Content Production on: Copywriting"
Perkumpulan Sosial Ekonomi Akselerator Lab,Digital Transformation in The Government and Public Sector,"Kawasan Ekonomi Khusus Singhasari, Raya Klampok Blok D2 no 16 Purwoasri, Singosari, Kab. Malang",AWS Cloud Computing Concept of Digital Transformation and Its Development Identification of Problems and Strategy Solutions on Digital Transformation in Government Agencies Information System Management Research Concept with Android Framework & Website Programming Application Development with Scrum Method
PT Mitra Semeru Indonesia,"E-Commerce: Start Up, Smart Up, & Scale Up","Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan



",04.Product/Service Planning 02.Communication 03.Leadership & Long Life Learning  05.Digital Technology-based Business Organization / Startup Management 06.Information Technology 01.Digital Mindset
PT STECHOQ ROBOTIKA INDONESIA,Education Engineering Course for Digital Transformation and Industry 4.0,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta",Content Production Assessment Production of Digital Teaching Materials Prototype Development Teaching Material Design and Online Evaluation Material Design Thinking Development of Mobile Apps-Based Asynchronous Teaching Systems Software Mastery Online Course Development
PT STECHOQ ROBOTIKA INDONESIA,Electrical Engineering Course for Digital Transformation and Industry 4.0,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta",Image Sensors and Actuators Electronics Engineering Microcontroller Integrated Electronics Power Electronics Wireless Sensor Network Digital Electronics (Alarm and Display)
PT STECHOQ ROBOTIKA INDONESIA,Farm Engineering Course for Digital Transformation and Industry 4.0,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta","Breeding and Fattening Sheep Farm Industry SOP Design Thinking Apps and Monitoring Dashboard Feed Technology Innovation Livestock Product Technology Technology in Cages (scales, thermoguns, RFID) Livestock Social and Economics"
PT Marka Kreasi Persada,From Beginner to Professional UI/UX Designer,,Big Task Mini Project Professional Skill Fundamental UX and UI Designer Guides and Rules on UI UX Fundamental Tools for UI UX Softskill and Documentation on UI UX Capstone Project
PT Ruang Raya Indonesia,Frontend Engineering,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Final Project: Web Development Programming with Javascript Software Engineering: Implementing the software development process using the Visual Studio Code Code Editor, Terminal, version control, and basic networking.Frontend Web Development With HTML & CSS: Understanding writing HTML and using CSS in basic Web Development Interacting with Web APIs: Understanding how website applications run and display from the client side.Intro to Node.js: Leveraging the NodeJS development ecosystem to develop applications.Frontend Web Development with React:  Memahami fundamental library ReactJS (JSX, Component, Props, State, LifeCycle, Handling Event) dan menggunakan ReactJS untuk membuat Single Page Application.Consuming RESTful API: Understand the fundamentals of RESTful API architecture and apply it in website development on the frontend development side.Frontend Deployment To Production: Understand how to deploy ReactJS applications that have been made so that they can be accessed online using the Netlify / Vercel / Github services Pages General Competencies: General Competencies Additional learning that can support participants' abilities to participate in and implement digital marketing programs which include: 1) Communication and Presentations Skill 2) Analytical & Strategic Thinking Skill"
PT LENTERA BANGSA BENDERANG,Front End Javasript,,Know the Introduction to the World of Programming Be able to use the authentication system from the backend and carry out testing Understand the concept of OOP and be able to run scripts on Node.JS Understand the basics of Front-end (HTML and CSS) Master the basic skills of front end development with the Javascript programming language Create dynamic web displays using ReactJS Able to manage data using Redux State Management Create dynamic web views using ReactJS Part II Perform deployment Collaborate with application development teams with iteration of the testing and evaluation process through the Github repository
PT Mitra Integrasi Informatika,Full Stack Developer,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Introduction to Programming Front-End Programming Back-End Programming Secure Programming Power Platform Fundamental
PT LENTERA BANGSA BENDERANG,Fullstack Web,,Perform unit testing and deployment Master the basic skills to create web pages Understand the basic logic of Javascript Be able to apply OOP and DOM in web development Design API architecture and documentation Create applications using ReactJS and implement OAuth in React and Express.Introduction - Understanding the Introduction to the World of Programming Able to run code and collaborate with other developers in the system development process Perform database design Collaborate with application development teams with iterative testing and evaluation processes through the Github repository
PT Hacktivate Teknologi Indonesia,Golang for Back End Programmer,"Gedung Aquarius Lt. 1&2, Jl. Sultan Iskandar Muda No. 7,  RT. 005 RW. 009, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240",Exploration of Various Applications of Functions.Understand about packages & tools in Go Programming.Understand and be able to implement Web Server/Service for API Go.Understand the main core of the GO programming language.Understanding the Go to Human Error Handling Approach - Readable Error.Understand about OOP Go Program with Struct Implementation.Understand how Go-Routines and Channels Work.Understand and be able to create Go middleware.Understand the Key Concepts of Microservices.Understand and be able to do API documentation with the GO library.Understand and be able to do testing with Testify
PT STECHOQ ROBOTIKA INDONESIA,Hardware Engineering Course for Digital Transformation and Industry 4.0,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta",Sensors and Actuators Programmable Logic Controller (PLC) RVM Arm Robot Industrial Control Systems RFID Technology Supervisory Control and Data Acquisition (SCADA) RVM Arm Transfer Metal Stamping
PT Marka Kreasi Persada,How to be an Ideal Top Search ReactJS Front-End Engineer Program ,,Capstone Project GraphQL Fundalmental Frontend Mastering Frontend with React Professional Skill Mini Project Coding Competence
PT Ozami Inti Sinergi,Indobot Academy -  Internet of Things (IoT) Engineer Camp,"Gedung Inkubator Bisnis LPPM UNY, Jln. Gejayan, Gg. Guru Jl. Karangmalang, Karang Gayam, Condongcatur, Depok Sub-District, Sleman Regency, Special Region of Yogyakarta 55281",IoT Device Integration IoT Interface Techniques Android Apps Interface Techniques IoT Web Apps Self-reflection Dynamic teamwork Activity reports and consultations with mentors Soft skill learning and personal activity Concept and analysis of IoT technology requirements Application of electronic circuits and programming algorithms Design of IoT devices using Wemos D1 Data Collecting Device IoT System design and evaluation on the IoT Smart Device Hard skill IoT project & career preparation in the industrial world
PT BISA ARTIFISIAL INDONESIA,Infrastuktur Kecerdasan Artifisial (AI-INFRA),JLN. IR H JUANDA NO. 84 BANDUNG,Compulsory Learning 2 Compulsory Learning 1 Capstone Project Learning Optional Learning 1 Optional Learning 2
PT DWI INTI PUTRA,iOS Developer,,Career Mentoring 1 on 1 Support Group Group Mentoring IT Specialist: Python JSON-JavaScript App Development with Swift Certified User Intuit Design for Delight Innovator (Design Thinking) Capstone Project App Development with Swift Associate
PT LENTERA BANGSA BENDERANG,IOS Developer,,Local and Remote Data Storage Understanding the structure of the swift programming language (continued) Using External Dependencies and the Latest Framework from Apple Product class Application Connection with Backend Service Understanding Testing and Deployment of iOS Custom View Applications Using XIB and Interface Navigation Understanding the basics of iOS and swift programming language Create UI views and layouts
PT EDUCA SISFOMEDIA INDONESIA,Kelas Industri 3D Animator,"Jl. Gilingrejo No. 10 Kota Salatiga, Jawa Tengah, Indonesia",Collaboration and Final Project Hard Surface and Organic 3D Modeling Making of Motion Mechanics (Rigging) Making of 3D Object Movement (Animation) Making of Map and Coloring of 3D Material Objects Lighting Process of 3D Rendering of 3D Objects
PT EDUCA SISFOMEDIA INDONESIA,Kelas Industri Front-end WebDev,"Jl. Gilingrejo No. 10 Kota Salatiga, Jawa Tengah, Indonesia",Mastering the CSS Framework to Create a Basic User Interface - Basic Website Creation with HTML and CSS Creating Syntactically Compiled CSS Mastering the Javascript Framework to Maximize User Experience Unit Testing and Debugging Collaboration and Final Project
PT EDUCA SISFOMEDIA INDONESIA,Kelas Industri Game Developer,"Jl. Gilingrejo No. 10 Kota Salatiga, Jawa Tengah, Indonesia",Making Simple Educational Games Without Coding Expertise in Using Javascript as a Basis for Making Programming Logic Ability to Make Simple Animations Using Javascript Making Simple Endless Run Games Making Simple Platformer Games Collaboration and Final Projects
PT EDUCA SISFOMEDIA INDONESIA,Kelas Industri Seniman Digital,"Jl. Gilingrejo No. 10 Kota Salatiga, Jawa Tengah, Indonesia",Mastering CorelDRAW Software as a Graphic Processor Basic Principles of Graphic Design Getting to Know Illustrations Creating Assets Collaborative Game Interfaces and Final Projects Creating Vector Illustrations Using CorelDRAW Software
PT STECHOQ ROBOTIKA INDONESIA,Lean Manufacture Engineering Course for Digital Transformation and Industry 4.0,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta","Value Stream Mapping System Improvement Built in Quality, Visualization and Industrial Abnormality Response System (SCW) and Opportunities for Implementing Industrial Transformation 4.0 Technology Supporting Industrial Transformation 4.0 Planning, Execution, and Evaluation of Industrial Transformation 4.0 Solutions for Improving Stabilization & Efficiency of Work Processes Solutions for Repairing Pull & System Systems Process Improvements Between Production Lines"
PT Marka Kreasi Persada,Mastering Flutter. From Zero to Hero Engineer Program,,Coding Competence Basic Object Oriented Programming Dart Programming Project Management Interface Manipulation Mini Project Architecture and System Integration Professional Skill Capstone Project
PT Marka Kreasi Persada,Mastering Golang Programming Engineer Program,,Basic Pemograman Golang Algorithm and Structure Data Deployment CI/CD Capstone Project Database Management System Design and Management Project Rest API Professional Skill Mini Project Coding Competence
PT STECHOQ ROBOTIKA INDONESIA,Mechanical Engineering Course for Digital Transformation and Industry 4.0,"Jalan Belimbing A-17 Perum Sidoarum Blok II, Godean, Sleman, Yogyakarta","Automation aspects: Sensor and Actuators Basic actuator: Determining Motor Size Mechanical Design: Design for Manufacture and Assembly Machine element: bearing, shaft and gears Actuator for beginner:  Electro-pneumatic Mechanical Design:  The basic ""Mechanical Design:  Sheetmetal-working"""
PT. Mitra Edukasi Pratama,Microcredential Game Developer,"Gedung Menara 165, Lantai 4 
Jalan TB. Simatupang Kav. 1
Cilandak Timur, Pasar Minggu, Jakarta 12560","1.Game Designer: students will be able to become graduates who are competent in making Game Designs who have: (1) a responsible, committed, conscientious and empathetic attitude.(2) General skills which include the ability to analyze, design and make game designs.(3) Specific skills which include how to develop stories, create game mechanics, create flows and create layouts.(4) Knowledge of how to make a Game Design Document based on the concept of Design Thinking.2.Game Artist: students are expected to become a competent game artist.Have: (1) Responsible, disciplined, broad-minded, and collaborative attitude; (2) General skills in making various assets needed in a game project; (3) Special skills in operating graphics, animation and audio software to create assets and graphic designs, 2D and 3D animation, and audio for 2D and 3D-based game assets.(4) Knowledge of how to implement assets in a 3.Game Programmer: students will be able to become game programmers who have: (1) a responsible attitude, thorough and able to collaborate in a team; (2) General skills in the ability to analyze and use the Unity Game Engine; (3) Special skills which include programming Pong 2D, Side Slider/Platform 2D, Top Down Shooter 2D, First Person Shooter 3D, Third Person Shooter 3D; (4) Knowledge of implementing monetization in games 4.Educational Game Developer After participating in Stream Educational Game Development, students are expected to become graduates who are competent to apply RenPy in educational games based on pedagogical principles and have: (1) A critical attitude, open-minded, empathetic and collaborative.(2) General skills of using RenPy in educational games (3) Specific skills of RenPy in using: basic, creative and advanced features.(4) Knowledge of pedagogy in the development of educational games, instructional game design and development of educational games 5.Game Project Management students are expected to be able to become Game Project Managers who have: (1) Discipline, respect for time, responsibility, and collaboration (2) General skills which include leadership, group communication, and presentation skills (3) Specific skills that covering market analysis, project management, marketing and branding, and managing change.(4) Knowledge of entertainment and serious games, team building for game development, tools for project management, marketing and branding Attitude General skills Special skills Special skills Special skills 6.Capstone Project This program is intended as a collaborative project that integrates the four streams in the curriculum with intensive mentoring assistance to produce game product prototype outputs, namely educational games, serious games or entertainment games."
PT Mitra Integrasi Informatika,Network Security Operation Center (Cyber Blue Team – CND; CSA; ECIH),"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Incident Respond Security Operation Center - SOC (Security Operations Center) Network Defense Cyber ​​Security Awareness How to be a Cyber ​​Security Specialist in a Project
PT Hacktivate Teknologi Indonesia,Node JS for Back End Web Developer,"Gedung Aquarius Lt. 1&2, Jl. Sultan Iskandar Muda No. 7,  RT. 005 RW. 009, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240","Understand and know the basic fundamentals of a back-end web developer.Understand and implement the Nodejs framework, especially the backend for web application needs.Securing and managing user authentication and access control for backend applications.Design and create databases for web application purposes.Debug and optimize the performance of the created web application"
