restaurant_name,name,rating,review
Restoran EKA RIA,Ming Wijono,3.0,Often times used for weddings and parties.
Restoran EKA RIA,Handry Carlos,5.0,The food was good :)
Restoran EKA RIA,Arifin Djakasaputra,4.0,The limit is a parking area
Restoran EKA RIA,Andreas Andi Mahardi,3.0,Old chinese taste restaurant
Restoran EKA RIA,jimmy tannoto,5.0,Fried dumpling the best
Restoran EKA RIA,Tony Giat,4.0,Nice chinese restaurant
Restoran EKA RIA,Roesli Roesli,4.0,Old-school Chinese food restaurant
Restoran EKA RIA,Julianto Zhen,3.0,So so...
Restoran EKA RIA,Richa Tan,5.0,Nice
Restoran EKA RIA,may Rachmanto,5.0,Ok
Restoran EKA RIA,Piyo Agency,3.0,Ok
Restoran EKA RIA,Dadan Ramdani,3.0,Top
Restoran EKA RIA,Hendra Kusumawi,5.0,A great restaurant!
Restoran EKA RIA,Nicholas Lewier,5.0,Top
Restoran EKA RIA,Eiril Sofjial,5.0,Great restaurant
Restoran EKA RIA,Lie Lie Wen,1.0,Enjoy
Restoran EKA RIA,Muliawan Sulaiman,4.0,Nice
Restoran EKA RIA,Ana Li,5.0,Nice
Restoran EKA RIA,Ferry Ferdinand,3.0,Food was okay
Restoran EKA RIA,Sahathy Permadi,4.0,Restaurant for various events
Restoran EKA RIA,Michael Wibawa,5.0,Nice
Restoran EKA RIA,Iga jambose,4.0,Nice
Restoran EKA RIA,Bobby,5.0,Nicee food
Restoran EKA RIA,KENNY NATHANIEL,5.0,Good
Restoran EKA RIA,Amsyar Alviansyah,5.0,Good
Restoran EKA RIA,Kenny Hartono,3.0,quality is mediocre.
Restoran EKA RIA,Jeniver Tanuwijaya,5.0,Very nice👍🌹
Restoran EKA RIA,Chris ruddy,4.0,Nice for Dinner...
Restoran EKA RIA,robbin tanudibrata,4.0,Food good enaugh
Restoran EKA RIA,Sudirman Halim,4.0,A historical restaurant.
Restoran EKA RIA,lauw bing,3.0,Old fashion
Restoran EKA RIA,Hendra Kusuma,5.0,Tappmantappp
Restoran EKA RIA,Dixie Xie,5.0,"This is my first time to get here to celebrate my dad's birthday. This place is family chinese restaurant that have good ambience and for elderly. Some positive things : - They have lift to reach restaurant area (we can take our family member with wheelcair easily here) - Nice and clean place - Excellent service - Great food taste and they have some unique & signature menu that not found in other resto. Tips & Trick: - Make sure you have RESERVATION before you get here. Otherwise, you should wait other people finish and it will take more than 30 mins in peak hour. - They have limited parking lot. It's better if you can come earlier. Or if you arrive during peak hour (lunch / dinner), be ready to have plan B on where you can park your car. My Order (all in SMALL size): Sate Shanghai 154K Bakmi Ulang Tahun 83K Burung Dara Jit Lok Joen 90K Pocai Cah 88K Angsio Tahu 99K Lindung Cah Fumak 116K Will get back here for sure to try ""Nasi Manis"" that not available today. Today (02-Oct-22) they have promo 10% discount if you post story / reels / post and tag + follow Eka Ria instagram 😁"
Restoran EKA RIA,Cherie,5.0,"What a nostalgic place to go to. Not surprisingly, the delicious food haven't changed since I last visited 6 years ago. The food quality is and always has been great and consistent over the years. The place is also spacious for events serving excellent food. And the value the restaurant gives is something that would make me come back for more! Parking: Best to get here earlier. If there are events in the restaurant, they would hog the parking space first."
Restoran EKA RIA,Winda Verfida,4.0,"(Translated by Google) MORE & reviews, IG : @munchandsnap.jkt . . , (𝗜𝗗𝗥 ) (𝗜𝗗𝗥 ) (𝗜𝗗𝗥 ) (𝗜𝗗𝗥 ) (𝗜𝗗𝗥 ) (𝗜𝗗𝗥 ) ‘𝗝𝗶𝘁 ’ (𝗜𝗗𝗥 ) One thing that I got after trying it and also chatting directly with the Chef: it turns out that NOT ALL Chinese Food is the SAME! Now if it's called Cantonese cuisine here, the cooking process takes longer and it's not as simple as usual Chinese food Thats why if you pay attention to the menu, there are quite a few unique ones, different from other Chinese food restaurants . Overall good in terms of taste, ingredients, texture: its really WORTH TO TRY💯 Typical food that is not only good for your body but also to your soul (Original) MORE 𝙁𝙤𝙤𝙙 & 𝘾𝙖𝙛𝙚 review, IG : @munchandsnap.jkt 𝐂𝐎𝐌𝐅𝐎𝐑𝐓𝐈𝐍𝐆 𝐂𝐇𝐈𝐍𝐄𝐒𝐄 𝐅𝐎𝐎𝐃 𝐝𝐢 𝐉𝐚𝐤𝐚𝐫𝐭𝐚 . 🐷 𝗦𝗮𝘁𝗲 𝗦𝗵𝗮𝗻𝗴𝗵𝗮𝗶, 𝘀𝗺𝗮𝗹𝗹 (𝗜𝗗𝗥 𝟭𝟱𝟰𝗸) 🥢 𝗣𝗮𝗻𝗴𝘀𝗶𝘁 𝗖𝗮𝗵 (𝗜𝗗𝗥 𝟵𝟯𝗸) 🐓 𝗔𝘆𝗮𝗺 𝗚𝗶𝗼𝗸 𝗟𝗮𝗻 (𝗜𝗗𝗥 𝟭𝟴𝟭𝗸) 𝗣𝗼𝗰𝗮𝗶 𝟯 𝗥𝗮𝘀𝗮 (𝗜𝗗𝗥 𝟭𝟬𝟰𝗸) 🦐 𝗨𝗱𝗮𝗻𝗴 𝗞𝗶𝗽𝗮𝘀 𝗠𝗮𝘆𝗼𝗻𝗻𝗮𝗶𝘀𝗲 (𝗜𝗗𝗥 𝟭𝟵𝟬𝗸) 🍜 𝗔𝗻𝗴𝘁𝗼𝗺𝗶𝗲 (𝗜𝗗𝗥 𝟭𝟱𝟰𝗸) 𝗡𝗮𝘀𝗶 𝗠𝗮𝗻𝗶𝘀 ‘𝗝𝗶𝘁 𝗟𝗼𝗸 𝗝𝗼𝗲𝗻’ (𝗜𝗗𝗥 𝟭𝟬𝟰𝗸) Satu hal yang aku dapet setelah cobain dan juga ngobrol langsung sama Chefnya: ternyata GAK SEMUA Chinese Food itu SAMA! Nah kalau di sini sebutannya masakan Cantonese, proses masaknya lebih lama dan gak sesimpel chinese food yang biasa Thats why juga menunya kalo kalian perhatiin, cukup banyak yang unik, berbeda dari restoran Chinese Food lainnya . Overall baik dari segi rasa, bahan, teksturnya: its really WORTH TO TRY💯 Tipikal makanan yang ga cuma good for your body but also to your soul"
Restoran EKA RIA,Risnawan Muliadi,4.0,"(Translated by Google) Delicious Chinese food from a legendary restaurant in Jakarta. Angtomie is a noodle with Eka Ria's signature crab soup that is a must try. The two-flavored carp and the Shanghai spring rolls are delicious. The dishes are directly cooked by the master chef, who is also the owner (third generation). The service is very good, the waitress is always ready to help, even the parking attendant is the same. The restaurant is elderly and disabled friendly because it provides lifts and special toilets for wheelchair users. Every Wednesday and Friday there are dance activities in the ballroom dance floor 1. (Original) Masakan Cina yg enak dari resto legendaris di Jakarta. Angtomie merupakan bakmi dengan sup kepiting khas Eka Ria yg harus dicoba. Ikan Gurame Dua Rasa dan Lumpia Shanghai-nya maknyus. Masakannya langsung dimasak oleh master chef, yg sekaligus owner (generasi ketiga). Pelayanan sangat bagus, waitress selalu siap membantu, bahkan juru parkir pun sama. Resto yg ramah lansia dan disabled karena menyediakan lift dan toilet khusus pengguna kursi roda. Setiap Rabu dan Jumat ada aktivitas dansa di ballroom dance lantai 1."
Restoran EKA RIA,Keith Family Story,5.0,"(Translated by Google) legendary restaurant from 1925, super friendly service.. spacious parking lot.. the usual hall for weddings is also spacious.. there are 2 floors.. there is a private room.. there is outdoor too.. good food.. clean toilets.. The full video of the restaurant atmosphere is on YouTube keith family story hope it helps and always success for eka ria restaurant (Original) restaurant legendaris dari tahun 1925 , pelayanan super ramah.. parkiran luas.. aula yang biasa untuk nikahan juga luas.. terdapat 2 lantai.. terdapat privat room.. ada outdoor nya juga.. makanan enak.. toilet bersih.. video lengkap suasana resto nya ada di youtube keith family story semoga membantu🙌 dan sukses slalu buat eka ria resto"
Restoran EKA RIA,Ichen Hidayat,5.0,"(Translated by Google) Nice experience with Eka Ria restaurant, VIP room 9 people, free karaoke to your heart's content For 3 hours The employees are very kind and polite in service Great Chinese food Success and always healthy, ci 🙏 (Original) Pengalaman yg menyenangkan bersama Eka Ria restaurant, Vip room 9 orng, free karaoke sepuas nya Selama 3 jam Karyawan sangat baik dan sopan dalam pelayanan Makanan enak chinese food Sukses dan selalu sehat ya ci 🙏"
Restoran EKA RIA,Jessica C,4.0,"(Translated by Google) 1. Cah Rock Frog In my opinion, this menu is a must order, the frog meat is big and very soft. The type of sauce is thick and cooked with red wine, so it smells really good. In addition to frogs, this menu also has pieces of mushrooms and onions that make it even more delicious. 2. Angtomie The noodles are actually ordinary boiled noodles, what's unique is the sauce, they use a thick red sauce with a mixture of crab meat. The taste is sweet and savory, even though it looks plain but it tastes quite good, and because there are scallions, it smells better. 3. Shrimp Spring Rolls The hallmark of this menu is its kietna sauce (a type of orange sauce). The texture is crispy and soft in the middle. (Original) 1. Kodok Batu Cah Menu ini wajib dipesan sih menurutku, daging kodoknya besar' dan lembut banget. Tipe saucenya yang kental dan dimasak dengan arak merah gitu jadi wangi banget. Selain kodok menu ini juga ada potongan jamur dan bawang bombai yang bikin makin nikmat. 2. Angtomie Mienya sebenarnya mie rebus biasa, yang unik adalah kuahnya, mereka pakai kuah kental berwarna merah dengan campuran daging kepiting. Rasanya manis dan gurih, walau kelihatannya polos tapi rasanya cukup enak, dan karena ada daun bawangnya jadi lebih wangi. 3. Lumpia Udang Ciri khas dari menu ini adalah saus kietna-nya (sejenis saus jeruk). Teskturnya garing dan lembut bagian tengahnya."
Restoran EKA RIA,Anthony Steven Hambali,5.0,"(Translated by Google) A restaurant with a long history, starting from 1925. The cuisine is Cantonese style, the chef is the third generation. If you're lucky and get a chance to talk to the chef, you'll know he cooks with heart. There are some special dishes that must be ordered in advance. (Original) Restoran dengan sejarah panjang, mulai dari tahun 1925. Masakannya ala kanton, chefnya sudah generasi ketiga. Jika anda beruntung dan sempat berbincang dengan chefnya, anda akan tahu dia memasak dengan hati. Ada beberapa masakan khas yang harus dipesan sebelumnya."
Restoran EKA RIA,Ir The One,4.0,"(Translated by Google) Come for jamming linedance at 10 to 15 the time is already endemic. Parking is not wide. Nice dance floor. Toilets are cleaned and disinfected periodically and maintained. Only when you have to pray are directed to the parking basement in the corner. Inadequate emergency and lack of hygiene. But the friendly staff immediately rolled out the building plastic sheet for the base. Grateful that there is a place to pray. Hopefully in the future, facilities like this can be paid more attention to the presence of the general public, especially during such events. Greetings healthy and always successful. (Original) Hadir utk jamming linedance jam 10 sd 15 masa sudah Endemi. Parkiran tdk luas. Lantai dansa bagus. Toilet bersih dan didesinfektant secara periodik dan dijaga. Hanya saat harus solat diarahkan ke basement parkir dipojok. Darurat kurang memadai dan kurang kebersihan. Tapi pegawai ramah langsung menggelarkan lembaran plastik bangunan utk alas. Bersyukur ada tempat solat. Semoga kedepannya fasilitas spt ini bisa lebih diperhatikan utk kehadiran publik umum terutama saat jam2 acara2 seperti itu. Salam sehat dan selalu sukses."
Restoran EKA RIA,Wintomo Tjandra,5.0,"(Translated by Google) Ekaria restaurant provides Chinese food with a large space and supporting parking. Tea drinks can be refilled as much as you like. The food provided is very diverse, from chicken, beef, vegetables, soup to pork. Highly recommended if you want to dine with family with a large number of people. (Original) Restoran Ekaria menyediakan makanan Chinese food dengan tempat yang luas dan parkiran yang mendukung. Minuman teh bisa refill sepuasnya. Makanan yang disediakan sangat beragam, dari ayam, sapi, sayuran, sup hingga babi. Sangat direkomendasikan jika Anda ingin santap bersama keluarga dengan jumlah banyak orang."
Restoran EKA RIA,Vitriah_Hayden William,5.0,"(Translated by Google) During the pandemic 1 big table contains 8 chairs..you can do karaoke..the food is still delicious👍🏻👍🏻..just suggest me to make a place for the customer's prayer if it can be fixed, okay🙏🏻 (Original) Selama pandemi 1 meja besar isi 8 bangku..bisa karokean..makanan tetep enak👍🏻👍🏻..saran aja min buat tempat sholat customer kalo bisa di perbaiki ya🙏🏻"
Restoran EKA RIA,J Honanda,5.0,"(Translated by Google) Butter Fried Stone Frog, Sweet and Sour Gurame, Gundur Soup, Hai Koi, Sweet Rice (Jit Lok Joen)♥️ (Original) Kodok Batu Goreng Mentega, Gurame Asam Manis, Sup Gundur, Hai Koi, Nasi Manis (Jit Lok Joen)♥️"
Restoran EKA RIA,tommy kwok,4.0,"(Translated by Google) At the elementary school reunion, Vi booked the VIP room, there was karaoke, a maximum of 40 seats 4 dining tables, used 3 tables, ordered gohiong food, salt chicken, protected ca fumak, fried noodles, fried frogs, fresh fruit, good food, good service, parking space limited yes, cost 7 million. (Original) Pas reuni SD, Vi booking ruang VIP ada karaokenya, maksimal 40 kursi 4 meja makan, pakai 3 meja, makanan pesan gohiong, ayam garam, lindung ca fumak, bakmi goreng, kodok goreng, buah segar, makan enak, pelayanan bagus, tempat parkir terbatas ya, biaya 7 jtan."
Medja Restaurant,pepperidge farm,4.0,"Love the interior! The details and selection for the theme is spectacular. The food was good but since I’ve got some restrictions with the diet, the menu is quite limited. Most of the food is spicy and use coconut milk, as I couldn’t eat both at this time. However the steak was well made, the tenderness and sauce was on point. Definitely will go back to try other cuisine!"
Medja Restaurant,Evelyne Theresia,4.0,"Taste ok, price ok. There's a lot of menu and have kids' menu also Service great and fast. Location easy to find. There's smoking (outdoor) area and non-smoking (indoor) area. The tables are limited so it's better if you booking first when it's weekend or you'll wait for long time to get table (last time come here, the queue can more than 30). There's no sign full before your car enter the place."
Medja Restaurant,Tasya Khalida,5.0,"Beautiful restaurant with an excellent food taste and interior. I just love how their interior really boosted my mood. Indoor and semi-outdoor area have a nice AC temperature, so it's a comfortable place to have a talk, eat, and taking pictures. Their prices are very worthy compared to it's taste and place. One menu has a big portion that can be shared to 2-3 people. Worth it!"
Medja Restaurant,Dewi Indiani,5.0,We came on Christmas day for dinner and the queue was pretty long yet we decided to keep waiting. Not sure if it would be that long on normal days. Turned out their service was worth the waiting. Food came quickly although we didn’t order in advance while waiting. Their staff was very helpful and accommodating. Their food was as good as advertised. Oxtail soup was superb.
Medja Restaurant,Josh H,4.0,"First time in here to have lunch. Park space? Not too big but enough for 30-40 cars. Food vs price? Not too fit because premium price only about place but not for food quality. Toilet? Only 1 for man and 1 for woman. Too little for the number of pax. Place? Actually were nice with outdoor seating. Recommended? Not for now if thinking about toilet number, food quality & park space."
Medja Restaurant,XY Fuwa,5.0,"Food taste so-so. A good place if you're into a fancy place to took a photos Good place to hangout with friends or colleagues. Has indoor and outdoor rooms. Clean restaurant, pool, surrounding. Good services and nice and kind employee. Good COVID-19 protocol, each tables got it own a bottle of hand sanitizer. Clean toilet. Have a free wifi. Might need a waiting time if you went here in weekend or holidays. We went to here is weekdays, so we didn't face waiting time Accept cashless payment."
Medja Restaurant,Rachel Mustika,5.0,"I had bitterballen and the drinks. The drinks were blue ocean, mint tea and coffee. The food and the drink was delicious. The environment is quite cool even though it was outdoor. The price was quite pricey as it was like any other cafes. I suggest to come early so, you don't need to wait."
Medja Restaurant,jouhara assofa,5.0,"Excellent services… so far the taste of the food is good. maybe i could say the price is quite pricey, but worth it because it tastes good. But the Highlights is their service, not only because the staff has good hospitality . they also gave ice cream as an apology because there was an order that took a while to come out. if you go to bogor you must visit MEDJA RESTAURANT"
Medja Restaurant,Raditya Nandiasa,4.0,"Food tasted so-so. Black pepper beef, fried noodle, and tumis daun pepaya way too salty to my liking. Matcha latte too sweet even for my sweet tooth. Nice place and ambience. To be honest, 3.5 stars from me."
Medja Restaurant,Catur J. Sutrisno,4.0,Perfect place to hang out. Excellent ambient and delicious foods and beverages. Huge parking lot and they manage the business really well from the queues to the friendly staffs. They have indoor and outdoor area and also mini swimming pool for taking a picture
Medja Restaurant,Agnes Sugiarto,2.0,"Trying Medja Restaurant after always canceling due to crowds and queues. In this visit, me and my friend ordered Iga Sapi Bakar (grilled ribs served with mashed potato and cream spinach), Sate Platter (mixed skewers with chicken, beef, shrimp and squid), Tahu Sumpel (bean curd stuffed with veggies and meat in Medja style) and Nasi Hijau (seasoned green rice). In my opinion, Medja food is pretty nice. However, I didn't get the hype, since taste wise it isn't that spectacular. The ambience of the place is pretty cozy and nice. But maybe it isn't just match with my palate. For this visit to Medja Restaurant, i'm gonna rate them 2.45 out of 5. For more info about foods, kindly visit asmunchkin on IG."
Medja Restaurant,Langga Calvareno,5.0,"Very amazing restaurant in Bogor City, West Java The building, the interior, atmosphere, lightning, is awesome The service is very good, the staff is really friendly and nice The food is really good, from the plating, to the taste itself The price is okay, a bit expensive but very worth it The parking lot is good and spacious"
Medja Restaurant,meydia x,4.0,"If u want to find hidden gem for just relax, take a short break & enjoy ur day with a cup of coffee, tea or sparkling water to accompany u then come to Medja restaurant. The concept of it was sit together in the table and eat the food while chit-chat either with ur family or ur friends. U will discover the place with high ceiling building with indoor and outdoor space. Don't forget to make reservation before coming here as it always full booked or u need to queue. Due to its crowd, then sometimes it will be hard for calling the waiter/waitress, so be patient 😉. The price for snacks or small bites still ok, however for the drinks and the main course quite expensive compares to the quality of foods. We ordered kroket bogor (it was nice if u ate it while hot, if already turned cold then no good). Another one is cigureng (not recommended at all although they gave star in menu book), asam-asam iga (this one star as the sour & the tasty is balance, recommended although the portion quite small), gurame betutu (the fish quite small & the taste not yet blend with the spices), papaya leaves (this one ok, papaya leaves not too bitter), nangka goreng caramel (this one also recommended as they serve it with ice cream). For the drinks, all are recommended, we ordered bandrek with ice (although small portion but taste is nice), pinky frizzy mint (forgot the name if not mistaken, this one also recommended even though the portion also small). Overall u pay the price for the scenery and the ambience of the place. For parking lots, they have lots. Please don't use google maps as the direction was wrong, u better ask people for the route."
