name,rating,review
Mawar Kusumawardani,5.0,nice hotel nice and friendly staffs it s located strategically surrounded by places and store that would be sufficient for a tourist the room was cozy the bed was so comfortable and the pool it s cute for me 
Bismi Rakasiwi,4.0,the rooms are pretty nice with big windows fast internet and a good shower the staff are friendly their pool is not that big but it is never busy they also have a variety options for breakfast they usually have an aerobic class every monday at the gym however the lights are not quite right the room is dark at night and it is kinda depressing their beds are not comfy i had a hard time to fall asleep there 
Cia,4.0,like the interior of the hotel it feels so traditional and the aromatic inside the building was so relaxing nice service too except for thing at the corner basement parking area where there s some kind of machine that sounds so loud it stinks so much it smells not soo good i got a headache smelling it i hope they maintain their place more but it s not a problem if u park your car because that machine located near motorcycle parking area thank you 
arief kas,5.0,hotel tua yg nyaman di semarang cuma berjarak m dari simpang lima breakfast was standard n less variety the taste was standard you get what you pay but it s good for a short trip coz nearby to pusat oleh n food centre 
Fadhil Hidayat,3.0,strategic location the breakfast menu is tasty and quite varied the room is nice with a cupboard a cable tv and refrigerator however it is so many mosquitoes in the room especially in rd floor near from the swimming pool dirty slimy and slippery swimming pool small lobby car port and small parking lot the decor is rather outdated 
Tegar Andito,4.0,old looking hotel with good breakfast
Sivvis (Sivvis),4.0,good hotel for a good price there s not much more to it free breakfast is ok but better than many other hotels in the same price range waterpressure was a bit low the bed was good and the tv has enough channel to keep me entertained i stayed night 
Crisopras “YΛVL” Kainama,5.0,read this knowing that millions of people around the world would be watching in person and on television and expecting great things from him at least one more gold medal for america if not another world record during this his fourth and surely his last appearance in the world olympics and realizing that his legs could no longer carry him down the runway with the same blazing speed and confidence in making a huge eye popping leap that they were capable of a few years ago when he set world records in the meter dash and in the meter relay and won a silver medal in the long jump the renowned sprinter and track and field personality carl lewis who had known pressure from fans and media before but never even as a professional runner this kind of pressure madeonly a few appearances in races during the few months before the summer olympics in atlanta georgia partly because he was afraid of raising expectations even higher and he did not want to be distracted by interviews and adoring fans who would follow him into stores and restaurants demanding autographs and photo opportunities but mostly because he wanted to conserve his energies and concentrate like a martial arts expert on the job at hand winning his favorite competition the long jump and bringing home another gold medal for the united states the most fitting conclusion to his brilliant career in track and field 
Agus Wahyuadianto,5.0,it is my second visit here cheap and clean are still the best features the cramped parking lot is compensated by skillful and free of charge vallet service i haven t tried the gym pool and breakfast though i might revise this review later 
RASHEED PUTRANTO,3.0,it s an ok hotel what else do i expect from an old hotel not really much going on there s a swimming pool haven t tried it though the food is also an ok rating not much of an option but it s food
Joko Christian,4.0,good old hotel with clean bathrooms and adequate facilities wifi is good breakfast is good a gym swimming pool good layout but somewhat limited parking lot and long hallways needs to be traveled between lobby and passenger elevator to rooms located in city center not so far from simpang lima min by car or minutes walk photos attached are swimming pool and family room with seperate beds 
Rizca Nur Afivtya Puteri,4.0,i like this hotel it s compact clean and comfortable it has its own swimming pool but the th floor and above has its own elevator at the back of the hotel that time i didn t know it i used the front elevator and ended up entering a really dark hall smh but overall it was fine 
Nora Valk,2.0,when i first came to pandanaran years ago i fell in love with my room i picked the hotel via google for its location i have come back ever year either alone or w family members number one for the staff they are so thoughtful helpful and kind now almost like family but unfortunately the hotel needs alot of renovations and very important additons for the safety of older people nr is a hand railing by the front entrance steps nr hand railings by the swimming pool the first two years the tv stations were international with cnn bbc abc etc now it is completely local not good breakfast is the best both tradtional and international clean sheets and towels daily however i will look for the very necessary renovations of the rooms bathrooms hallways and swimming pool thank you pak gunawan ibu restu and ibu ira when i fell down and you rushed me personally to the clinic to be checked and given medication and all the after care i hope to come back sampai jumpa 
Vicky Sabadius,3.0,old hotel moderate room clean good food good location nice staff
budi mega prasetyo,4.0,value for money for family weekend among the cheapest rate for family room strategic location to spend your weekend in the center of semarang and if you lucky you can walk in the morning and join semarang s car free day on sunday some old fasility need to upgrade restaurant need more light
Gio Taufan (Disgiovery),3.0,some old hotels can have some comfy and nice atmosphere while pandanaran hotel for me feels like a bit jam packed the hotel restaurant can get really crowded during breakfast time but if you are in group i suggest you to try nasi branjangan specially provided by the hotel by prior order it s like nasi liwet style where we get together having the traditional feast the room i stayed in had a really nice cityscape from its hotel window 
E.A.P.,5.0,i do like the vibes of this hotel spacious and clean room with reasonable price and licated in the city center near to simpang lima friendly staff and they even called me to make sure about room and when i arrive and my room has been upgraded to the larger one thank you so much 
Matze Ko,4.0,the pandanaran hotel scores with it s very central location the kind staff the pool and the clean rooms even if they are not the newest anymore the pool is located an a more or less roof top on the rd floor and the opening hours are quite long am pm furthermore you can rent a scooter i think it was more or less a private rental from a hotel employee but it was very easy and cheap idr hours all in all a very recommended stay in semarang 
key,3.0,when you first look at this hotel you will think that this hotel is fancy but once you go to the receptionist you would know that this hotel is a mess the ornaments on this hotel is disorganized in fact i felt really insecure because it looks kinda creepy to me the room also smells funny and there s so many things that already broken i don t really mind but i hope they fix this problem asap
amelia safitri,4.0,great place to stay at the heart of semarang city simpang lima they offered rooms with connecting doors super friendly and helpful staff too bad we can t stat for too long in semarang definitely worth for staying with quite affordable price 
Steffani Sylvia Tan,4.0,spacious bed great bathroom great for families good food especially breakfast a variety of menu strategic location would stay there again 
daniel tambunan,5.0,location facility hospitality is above expectation well it could be perfect if the breakfast menu were more option
Christina Syah,5.0,i book room in this hotel through traveloka it was my first time staying here for family vacation i booked for superior room but when i checked in the staff said he upgraded my room become deluxe all service are okey they have also swimming pool and children pool though not so wide but it is still okey their breakfast menu has many varieties and i love the taste and overall this hotel is very strategic because it is in main road of pandanaran and near also toko oleh oleh in pandanaran 
Sekti Wicaksono,5.0,great location great room amazing servicesrooms service location more
Jawoto Setyono,5.0,one of the oldest hotels in town 
Demina Sitepu,5.0,good hotel at its classrooms service location more
Cornellia Widiastuti,5.0,great hotel price is a little bit higher then competitors breakfast is just okay and it is a little bit outdated but the reason why i m giving them stars is because they have excellent staffs accidentally left my book here and ibu novi helped me shipping my book to me kudos 
Josse Luca,4.0,clean and comfy hotel for affodable price
